Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
11985,22389,12260,40923,37567,43734,45407,46613,9407,5529,178.8010342,123.0694525,2.674260159,734.4588101,20
504,740,137,1429,802,761,578,791,219,89,4.185936425,2.079228815,0.357224334,8.271117268,34
5694,8479,1602,8929,8600,8219,9344,9397,2668,1150,37.05166217,7.81341713,1.475056318,92.62185315,0
6178,10618,3105,13394,13910,13764,11926,13057,4124,1575,52.53091186,24.65832442,1.126165149,137.8613837,46
1982,3014,2335,3194,2757,2529,2693,2940,743,340,6.333817304,7.213047469,0.700024017,26.10809573,36
824,1174,944,1256,1167,1200,1185,1432,473,194,2.930846174,3.337692194,0.323921991,12.08099457,36
758,1059,338,1777,1196,1006,989,1325,551,209,5.601037139,4.783972524,0.674966421,11.34417247,41
485,669,101,852,674,751,735,1001,408,99,4.274974692,1.897270246,0.262459424,9.09043786,15
4983,7284,1091,7275,8649,8663,9349,11384,3706,993,39.66998615,18.62132892,0.850450797,104.1093518,46
209,304,41,366,255,293,297,416,244,42,1.704879779,0.86386113,0.144322953,3.959017415,16
2662,4050,684,4514,4008,4183,3947,4741,1834,592,12.53942386,7.400793294,0.66243623,42.93549394,43
1196,1556,284,1568,1285,1526,1618,2510,957,308,8.305570349,5.025402644,0.363249213,25.11881963,49
1387,2270,280,2534,2265,2145,2232,2433,706,393,8.471069611,5.853218816,0.255099708,22.49803493,10
1341,2306,311,3204,3257,3019,2410,2676,865,359,7.926389401,4.678171037,0.418737541,27.14027757,43
1767,2574,281,2629,3125,2934,3243,3991,1195,618,14.78896312,11.97181664,0.420248988,56.52665655,38
22204,32314,5371,33109,37913,37516,41389,53954,21046,7976,191.7168213,155.1967242,5.447900533,732.7836863,38
113,165,49,191,148,147,175,215,122,22,0.87979241,0.445790064,0.074476946,2.043025858,16
7430,11444,2495,18145,15183,17658,17724,19847,4387,2013,47.72769486,28.16898192,2.521372163,163.4215556,43
2551,3460,1272,4539,5293,5538,5088,6266,1880,928,22.60152939,13.67537457,0.988491749,68.35457605,49
2220,3074,429,4458,4068,4473,4004,4980,2364,581,19.48544504,12.2595925,0.859254,63.4833093,23
2663,5197,2379,9008,8065,9207,6735,6292,1004,1002,24.87781602,22.37262997,0.590696501,79.00038291,33
1343,2121,786,2644,2274,2284,2164,2813,1005,410,11.25908697,5.704969766,0.953113939,26.14549245,16
728,1020,209,696,879,919,946,1353,564,197,3.434885715,3.085406064,0.22466549,6.964630192,12
3466,5138,986,6096,5895,6171,5584,6779,2493,1155,31.91435549,22.50530199,0.420092222,123.7703036,32
1463,2282,535,3905,4931,3818,3603,3011,919,465,11.69273434,7.730573328,0.523121503,35.80476068,44
403,538,150,834,594,665,609,847,422,91,2.923499372,2.268032251,0.324833264,6.682284278,26
22773,34059,17382,37735,62688,46846,43257,45440,16006,8165,190.3167101,104.896121,5.525616047,558.1778046,37
5782,8620,1812,10159,12580,11508,13362,17871,5042,2118,65.50838332,22.1092278,0.973660945,186.0404839,30
647,1320,58,944,984,891,789,992,324,265,4.963323991,0.254590444,0.235555645,8.044582174,24
2467,3748,687,4595,4746,5136,5464,6452,1083,587,34.33427307,7.12012065,0.686924392,60.34780111,42
1528,2127,195,2033,1849,1744,1977,2081,692,314,10.43222879,3.505854666,0.373341521,22.9551701,17
28630,51514,12865,63914,77541,67792,67769,69729,19181,10771,242.431964,218.0191629,5.756281528,769.851259,33
233,348,187,694,466,405,309,416,136,48,1.85932773,1.588093875,0.22406275,3.765826565,41
3077,5577,677,7217,6454,5966,5664,6248,1501,925,20.93230695,3.352377129,1.411527212,58.33777807,3
221,404,36,482,412,404,468,510,178,56,1.29623026,0.765037718,0.068477619,4.438344782,43
924,1253,239,1148,1135,1203,1314,1860,824,362,6.384968293,4.017209218,0.281559366,20.80213802,23
621,908,147,772,1334,1314,1308,1119,269,100,4.907597776,2.419255117,0.086160899,11.5554869,9
671,888,102,1185,1089,1160,1169,1483,741,138,6.523294716,2.895093857,0.40049364,13.87133481,15
541,808,278,1474,1069,971,966,1136,305,206,4.299849855,3.335796217,0.477761095,9.82822824,26
399,609,191,839,655,715,761,1041,338,115,3.890825535,1.971477981,0.329369519,9.035150893,16
5805,7999,1497,9086,8926,9920,10170,12434,3728,1281,49.80831646,24.55356571,0.874466397,117.2792422,9
75432,137266,40090,179306,204538,209261,190855,185433,47214,24886,833.8262213,411.0439455,14.63918204,1963.336935,9
549,767,290,823,643,669,638,813,303,88,1.756270417,2.00006746,0.194105926,7.239374611,36
1478,2142,249,2134,1653,1718,1814,2269,966,309,5.956864445,3.51575343,0.31469092,20.39654454,43
2441,3859,485,5566,5519,5105,5324,6006,1625,636,22.30455755,5.458254021,0.852650332,56.23616509,14
508,680,91,1128,780,1003,988,1103,524,127,4.516429296,3.85758443,0.54426315,9.147440308,41
3181,5115,573,5652,5566,5233,5655,5932,1604,703,22.91716803,4.832749269,0.912350796,57.28840348,0
1963,3690,399,3763,5623,5457,4436,3660,973,507,11.24008927,6.633923394,0.593794615,38.4865198,43
